"ID";"ANYO_PROCESO";"COD_CARRERA";"COD_UNIVERSIDAD";"MODESTUDIOS1";"EXPERIENCIAPREVIA1";"EXPERIENCIAPREVIA4_1";"EXPERIENCIAPREVIA4_2";"EXPERIENCIAPREVIA4_3";"EXPERIENCIAPREVIA4_4";"EXPERIENCIAPREVIA4_5";"EXPERIENCIAPREVIA2";"EXPERIENCIAPREVIA3";"PRIMERA_GENERACION1";"PRIMERA_GENERACION2";"EXPERIENCIAPREVIA5_1";"EXPERIENCIAPREVIA5_2";"EXPERIENCIAPREVIA5_3";"EXPERIENCIAPREVIA5_4";"EXPERIENCIAPREVIA5_5";"EXPERIENCIAPREVIA5_6";"EXPERIENCIAPREVIA5_7";"EXPERIENCIAPREVIA5_8";"EXPERIENCIAPREVIA5_9";"EXPERIENCIAPREVIA5_10";"CCEA3_1";"CCEA3_2";"CCEA3_3";"CCEA3_4";"CCEA3_5";"CCEA3_6";"CCEA12_1";"CCEA12_2";"CCEA12_3";"CCEA12_4";"CCEA12_5";"CCEA12_6";"CCEA12_7";"CCEA12_8";"CCEA12_9";"CCEA12_10";"CCEA12_11";"CCEA8_1";"CCEA8_2";"CCEA8_3";"CCEA8_4";"CCEA8_5";"CCEA8_6";"CCEA9";"CCEA10";"CCEA6_1";"CCEA6_2";"CCEA6_3";"CCEA6_4";"CCEA6_5";"CCEA7_1_1";"CCEA7_1_3";"CCEA7_2"
"K0620741257";2025;12018;"12";5;5;9;9;9;9;9;0;0;1;0;2;1;2;2;3;3;0;3;3;3;2;0;3;3;2;0;2;2;1;3;3;2;2;2;2;3;3;1;1;0;1;0;0;3;3;3;2;3;2;2;1;4;3
"K3620931259";2025;22023;"22";1;4;1;1;1;0;0;1;6;1;0;0;0;3;3;0;0;0;0;0;2;2;2;2;2;2;0;3;2;0;2;2;0;3;0;0;3;3;1;1;0;1;0;0;3;4;3;3;3;2;2;2;4;3
"K0324821250";2025;56124;"56";1;4;0;1;0;0;0;2;6;1;0;2;1;3;3;2;3;3;3;3;2;3;2;2;2;1;1;3;3;2;3;3;2;3;3;3;3;3;1;1;0;0;0;0;3;4;3;3;3;3;3;1;1;2
"K5225481255";2025;56410;"56";5;5;9;9;9;9;9;0;0;1;0;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;0;0;0;0;0;3;3;3;3;3;3;3;1;4;4
"K5228311260";2025;49108;"49";5;5;9;9;9;9;9;0;0;1;0;2;2;2;2;3;2;2;3;3;3;2;2;2;3;2;2;3;3;3;3;3;3;3;3;3;2;2;1;0;0;0;0;0;2;4;3;3;3;3;3;1;1;3
"K5928551250";2025;12018;"12";5;1;0;0;0;1;1;4;0;1;0;0;3;0;3;3;3;0;3;3;0;3;3;3;3;2;0;2;2;2;2;0;0;2;0;2;3;2;1;1;0;0;0;0;3;4;2;1;2;3;3;1;3;2
"K8634011250";2025;32162;"32";1;4;0;1;0;0;0;2;6;1;0;3;2;1;3;3;3;1;2;2;3;3;3;3;2;1;1;2;3;2;3;3;2;2;3;3;3;3;1;0;0;0;0;0;3;3;3;3;3;3;3;2;1;3
"K9042521258";2025;55076;"55";1;4;0;1;1;0;0;2;6;0;1;2;2;3;3;2;3;2;3;2;2;3;3;3;2;2;1;3;2;3;2;3;1;2;2;1;2;2;1;1;0;1;0;0;3;4;3;3;3;3;3;1;0;3
"K5844351250";2025;41011;"41";1;4;0;1;0;0;0;1;2;1;0;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;1;0;0;0;0;0;3;4;3;3;3;3;3;1;2;3
"K8944401259";2025;11061;"11";5;5;9;9;9;9;9;0;0;0;1;2;2;2;2;3;2;1;2;3;1;3;3;2;2;2;1;3;3;2;3;2;3;3;3;2;3;2;1;0;0;0;0;0;3;5;3;3;2;2;2;1;4;4
