"ID";"ANYO_PROCESO";"COD_CARRERA";"COD_UNIVERSIDAD";"AUTOEFICACIA";"MOT_APRENDIZAJE";"MOT_DESEMPENO";"AUTORREGULACION"
"L3507771558";2025;26303;26;"2";"2";"1";"2"
"L0007971551";2025;22021;22;"3";"3";"1";"3"
"L3409811560";2025;26050;26;"3";"3";"2";"3"
"L7510051562";2025;26303;26;"2";"3";"3";"3"
"L3711581557";2025;35018;35;"2";"3";"2";"3"
"L2311621562";2025;16019;16;"3";"2";"2";"2"
"L5513751553";2025;55021;55;"2";"2";"1";"2"
"L4015091562";2025;18040;18;"3";"3";"2";"2"
"L9516061557";2025;41019;41;"1";"2";"2";"2"
"L2316361554";2025;38170;38;"2";"3";"2";"3"
"L6016361559";2025;16048;16;"2";"3";"1";"2"
"L4816651551";2025;25033;25;"2";"2";"1";"2"
"L8116661552";2025;11062;11;"3";"2";"2";"3"
"L3917421557";2025;13032;13;"3";"2";"1";"3"
"L0818661552";2025;50121;50;"2";"3";"1";"3"
"L1920101559";2025;55011;55;"3";"3";"3";"3"
"L0620121554";2025;41076;41;"3";"3";"2";"3"
"L9324961555";2025;56324;56;"1";"2";"2";"1"
"L3928661551";2025;50231;50;"1";"2";"2";"2"
"L6930031562";2025;49303;49;"2";"3";"2";"3"
"L0230311551";2025;26082;26;"2";"2";"2";"2"
"L4730561552";2025;24070;24;"2";"3";"2";"3"
"L0330611554";2025;47491;47;"2";"1";"3";"1"
"L5830651555";2025;35029;35;"2";"2";"1";"2"
"L2831631558";2025;21053;21;"2";"3";"2";"2"
"L4833391552";2025;11028;11;"3";"3";"1";"2"
"L0833541556";2025;45005;45;"2";"1";"1";"2"
"L1136201556";2025;39133;39;"3";"2";"2";"2"
"L8736621556";2025;52588;52;"2";"2";"1";"2"
"L9137311559";2025;30007;30;"2";"2";"2";"1"
"L6138801562";2025;38167;38;"2";"2";"1";"2"
"L2838931557";2025;41066;41;"3";"3";"3";"2"
"L8240091554";2025;19005;19;"1";"3";"2";"1"
"L8041581560";2025;14006;14;"3";"3";"1";"2"
"L9841711553";2025;16058;16;"2";"3";"1";"2"
"L8841941555";2025;16100;16;"3";"3";"1";"3"
"L5144271555";2025;56324;56;"2";"3";"2";"3"
"L5046431559";2025;49108;49;"2";"2";"1";"1"
"L8548091558";2025;20050;20;"1";"2";"2";"2"
"L7954581556";2025;56224;56;"2";"2";"2";"2"
"L4854821555";2025;41026;41;"1";"2";"2";"3"
"L4954881559";2025;55115;55;"";"2";"1";"3"
"L2354931559";2025;23077;23;"3";"3";"1";"3"
"L2056031559";2025;19091;19;"1";"1";"2";"1"
"L3457761557";2025;37100;37;"3";"3";"1";"3"
"L7158511558";2025;50528;50;"2";"3";"1";"3"
"L2860061560";2025;56210;56;"1";"2";"2";"2"
"L5961501559";2025;36057;36;"2";"2";"1";"3"
"L2061691557";2025;41156;41;"1";"2";"1";"1"
"L6461951559";2025;18073;18;"3";"3";"1";"2"
"L5864341559";2025;52070;52;"2";"2";"1";"2"
"L0365601551";2025;49314;49;"1";"3";"1";"1"
"L7065731555";2025;37001;37;"2";"3";"2";"1"
